Mix_ID,Cement_kg_m3,Fly_Ash_kg_m3,Silica_Fume_kg_m3,Metakaolin_kg_m3,GGBS_kg_m3,RHA_kg_m3,POFA_kg_m3,Fine_Sand_kg_m3,Water_kg_m3,Extra_Water_kg_m3,Water_Binder_Ratio,Na2SiO3_Content_kg_m3,NaOH_Content_kg_m3,KOH_Content_kg_m3,Activator_Molarity_M,Superplasticizer_kg_m3,Polypropylene_Fiber_Content_%,PP_Fiber_kg_m3,Fiber_Length_mm,Compressive_Strength_MPa,Flexural_Strength_MPa,Tensile_Strength_MPa,Elastic_Modulus_GPa,Interlayer_Bond_Strength_MPa,RCPT,Water_Absorption_%,Sorptivity,Gas_Permeability,Chloride_Penetration,Acid_Attack_Loss_%,Sulphate_Resistance_%,Printing_Speed_mm_s,Layer_Height_mm,Nozzle_Diameter_mm,Build_Direction,Print_Orientation,Anisotropy_Index,Density_kg_m3,Porosity_%,SEM_Results,XRD_Results,FTIR_Results,Curing_Temperature_C,Curing_Duration_days,Heat_Curing_Conditions,Curing_Method,Dataset_Distribution,Validation_Dataset,Testing_Dataset,Statistical_Normalization,Missing_Data_Handled,Feature_Selection_Method
BLD-RHA10,320,160,80,0,180,80,0,1450,198,10,0.3,,,,,9.2,0.6,6.0,12.0,68.0,9.8,6.2,41.2,6.0,980,2.4,0.07,6.6×10⁻18,Extremely Low,1.6,99,26.0,10.0,22,Vertical,X-Y-Z,1.08,2360,2.8,Fine RHA particles refined pore structure,Enhanced amorphous silica hump,Dense silica-rich gel structure,60,7,Heat curing at 60°C,Oven heat curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Correlation-based
BLD-POFA10,320,160,80,0,180,0,80,1450,199,10,0.3,,,,,9.2,0.6,6.0,12.0,67.2,9.6,6.1,40.8,5.8,1020,2.5,0.08,7.0×10⁻18,Extremely Low,1.8,99,26.0,10.0,22,Vertical,X-Y-Z,1.1,2352,3.0,Secondary gel products improved densification,Increased hydration products,Stable geopolymeric structure,60,7,Heat curing at 60°C,Oven heat curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Random forest importance
QGPC-CON,120,260,90,180,220,0,0,1080,185,8,0.18,120.0,48.0,0.0,12.0,10.5,0.0,0.0,,88.6,11.8,7.4,44.2,6.0,920,2.4,0.08,7.2×10⁻18,Extremely Low,1.8,98,18.0,10.0,22,Vertical,X-Y-Z,1.24,2360,3.2,Dense geopolymer matrix with moderate pore connectivity,Dominant geopolymer gel peaks,Stable aluminosilicate network,60,7,Heat curing at 60°C,Oven heat curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Correlation-based
QGPC-FA25,100,300,90,180,220,0,0,1080,182,8,0.17,118.0,46.0,0.0,12.0,11.0,0.2,2.0,12.0,96.5,12.8,8.1,47.5,6.8,760,2.0,0.06,5.8×10⁻18,Extremely Low,1.4,99,18.0,10.0,22,Vertical,X-Y-Z,1.18,2390,2.8,Fly ash particles improved matrix compactness,Increased amorphous hydration phases,Enhanced silica polymerization,60,7,Heat curing at 60°C,Oven heat curing,Balanced,0.15,0.15,Standard scaling,Yes,PCA
QGPC-MK20,100,260,90,220,220,0,0,1080,180,8,0.17,118.0,46.0,0.0,12.0,11.5,0.4,4.0,12.0,105.2,14.2,9.0,51.8,7.8,620,1.7,0.05,4.5×10⁻18,Negligible,1.0,99,18.0,10.0,22,Vertical,X-Y-Z,1.12,2435,2.3,Metakaolin enhanced gel formation and pore refinement,Reduced crystalline phases,Dense geopolymeric gel formation,70,5,Heat curing at 70°C,Oven heat curing,Balanced,0.15,0.15,Standard scaling,Yes,Recursive feature elimination
QGPC-GGBS25,80,240,100,200,260,0,0,1080,176,10,0.16,116.0,44.0,0.0,12.0,12.0,0.6,6.0,12.0,118.6,16.5,10.6,57.2,9.2,480,1.3,0.03,3.2×10⁻18,Negligible,0.7,100,20.0,8.0,20,Optimized layered build,X-direction dominant,1.06,2485,1.8,GGBS accelerated hydration and reduced voids,Strong hybrid hydration phases,Highly polymerized silica bands,70,5,Heat curing at 70°C,Steam-assisted curing,Balanced,0.15,0.15,Standard scaling,Yes,Random forest importance
QGPC-QUAD,60,220,120,220,300,40,40,1080,172,10,0.15,115.0,42.0,0.0,12.0,12.5,0.8,8.0,12.0,132.8,19.6,12.8,64.5,11.2,320,0.9,0.02,2.0×10⁻18,Negligible,0.3,100,20.0,8.0,20,Optimized layered build,X-direction dominant,1.01,2540,1.2,Extremely dense quaternary binder matrix with minimal microcracks,Strong amorphous gel structure,Highly stable silica-rich gel,80,3,Heat curing at 80°C,Steam-assisted curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Mutual information
QGPC-RHA10,60,220,120,220,260,80,0,1080,174,10,0.15,115.0,42.0,0.0,12.0,12.2,0.7,7.0,12.0,126.0,18.2,11.8,61.2,10.4,380,1.0,0.02,2.4×10⁻18,Negligible,0.4,100,20.0,8.0,20,Vertical,X-Y-Z,1.04,2515,1.4,Fine RHA particles refined nanopore structure,Enhanced amorphous silica hump,Dense silica-rich gel structure,80,3,Heat curing at 80°C,Oven heat curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Correlation-based
QGPC-POFA10,60,220,120,220,260,0,80,1080,175,10,0.15,115.0,42.0,0.0,12.0,12.2,0.7,7.0,12.0,124.8,18.0,11.6,60.8,10.2,400,1.1,0.03,2.6×10⁻18,Negligible,0.5,100,20.0,8.0,20,Vertical,X-Y-Z,1.05,2508,1.5,Secondary gel products improved matrix densification,Increased hydration products,Stable geopolymeric structure,80,3,Heat curing at 80°C,Oven heat curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Random forest importance
WT-CON,420,180,60,0,140,0,0,1420,212,8,0.34,,,,,7.5,0.0,0.0,,44.2,5.9,3.6,28.0,3.0,2250,4.8,0.2,1.95×10⁻17,Moderate,6.2,89,20.0,12.0,24,Vertical,X-Y-Z,1.36,2235,5.8,Moderate pore connectivity with weak interlayer bonding,Dominant C-S-H phases,Moderate silicate gel formation,25,28,Ambient curing,Moist curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Correlation-based
WT-RF1,400,180,60,0,160,0,0,1420,208,8,0.33,,,,,8.0,0.25,2.5,15.0,50.8,7.0,4.4,31.8,3.9,1880,4.0,0.16,1.50×10⁻17,Low,4.5,93,20.0,12.0,24,Vertical,X-Y-Z,1.26,2270,4.9,Recycled fibers improved crack bridging,Increased amorphous hydration products,Enhanced silica polymerization,25,28,Ambient curing,Moist curing,Balanced,0.15,0.15,Standard scaling,Yes,PCA
WT-RF2,380,180,80,0,180,0,0,1420,204,10,0.32,,,,,8.6,0.5,5.0,18.0,58.5,8.4,5.3,35.5,4.9,1480,3.2,0.12,1.12×10⁻17,Very Low,3.0,96,22.0,10.0,22,Vertical,X-Y-Z,1.18,2315,4.0,Fiber dispersion reduced microvoid formation,Reduced crystalline phases,Dense aluminosilicate network,40,14,Mild heat curing at 40°C,Controlled chamber curing,Balanced,0.15,0.15,Standard scaling,Yes,Recursive feature elimination
WT-RF3,360,180,100,0,200,0,0,1420,200,10,0.3,,,,,9.2,0.75,7.5,20.0,66.8,9.8,6.2,40.2,6.0,1120,2.6,0.08,8.0×10⁻18,Extremely Low,1.8,98,24.0,10.0,22,Optimized layered build,X-direction dominant,1.1,2360,3.1,Dense compact matrix with improved fiber bonding,Strong hybrid hydration phases,Highly polymerized silica bands,60,7,Heat curing at 60°C,Steam-assisted curing,Balanced,0.15,0.15,Standard scaling,Yes,Random forest importance
WT-3DP,340,180,120,0,220,0,0,1420,196,10,0.29,,,,,9.8,1.0,10.0,20.0,75.4,11.5,7.5,45.8,7.4,820,2.0,0.05,5.6×10⁻18,Negligible,1.0,100,26.0,8.0,20,Optimized layered build,X-direction dominant,1.03,2410,2.3,Extremely dense matrix with excellent interlayer cohesion,Strong amorphous gel peaks,Highly stable silica-rich gel,60,7,Heat curing at 60°C,Steam-assisted curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Mutual information
WT-RHA10,320,160,100,0,180,80,0,1420,198,10,0.3,,,,,9.4,0.8,8.0,18.0,70.8,10.6,6.8,42.5,6.6,940,2.3,0.06,6.4×10⁻18,Extremely Low,1.3,99,24.0,10.0,22,Vertical,X-Y-Z,1.08,2385,2.7,Fine RHA particles refined pore structure,Enhanced amorphous silica hump,Dense silica-rich gel structure,60,7,Heat curing at 60°C,Oven heat curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Correlation-based
WT-POFA10,320,160,100,0,180,0,80,1420,199,10,0.3,,,,,9.4,0.8,8.0,18.0,69.8,10.4,6.7,42.0,6.4,980,2.4,0.07,6.8×10⁻18,Extremely Low,1.5,99,24.0,10.0,22,Vertical,X-Y-Z,1.1,2378,2.9,Secondary gel products improved matrix densification,Increased hydration products,Stable geopolymeric structure,60,7,Heat curing at 60°C,Oven heat curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Random forest importance
BFGM-CON,0,320,60,180,160,0,0,1350,205,8,0.3,110.0,44.0,0.0,12.0,8.5,0.0,0.0,,52.8,7.0,4.4,32.5,3.8,1650,3.8,0.14,1.40×10⁻17,Low,4.0,94,18.0,10.0,22,Vertical,X-Y-Z,1.3,2280,4.6,Moderate pore connectivity with geopolymer gel matrix,Dominant geopolymer gel peaks,Stable aluminosilicate structure,60,7,Heat curing at 60°C,Oven heat curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Correlation-based
BFGM-BF1,0,300,60,180,180,0,0,1350,202,8,0.29,110.0,44.0,0.0,12.0,9.0,0.25,2.5,12.0,60.4,8.4,5.3,36.2,4.8,1380,3.1,0.11,1.08×10⁻17,Very Low,2.8,96,18.0,10.0,22,Vertical,X-Y-Z,1.22,2320,3.9,Basalt fibers improved crack bridging and reduced microvoids,Increased amorphous hydration phases,Enhanced silica polymerization,60,7,Heat curing at 60°C,Oven heat curing,Balanced,0.15,0.15,Standard scaling,Yes,PCA
BFGM-BF2,0,280,80,180,200,0,0,1350,198,10,0.28,108.0,42.0,0.0,12.0,9.5,0.5,5.0,12.0,68.8,9.8,6.2,40.8,5.9,1080,2.5,0.08,8.0×10⁻18,Extremely Low,1.8,98,20.0,10.0,20,Vertical,X-Y-Z,1.14,2365,3.2,Dense fiber distribution refined pore structure,Reduced crystalline phases,Dense geopolymeric gel formation,70,5,Heat curing at 70°C,Controlled chamber curing,Balanced,0.15,0.15,Standard scaling,Yes,Recursive feature elimination
BFGM-BF3,0,260,100,180,220,0,0,1350,194,10,0.27,108.0,42.0,0.0,12.0,10.0,0.75,7.5,12.0,77.6,11.5,7.4,45.5,7.0,820,2.0,0.05,5.8×10⁻18,Negligible,1.0,99,20.0,8.0,20,Optimized layered build,X-direction dominant,1.08,2410,2.5,Highly compact matrix with strong fiber–matrix bonding,Strong hybrid hydration phases,Highly polymerized silica bands,70,5,Heat curing at 70°C,Steam-assisted curing,Balanced,0.15,0.15,Standard scaling,Yes,Random forest importance
BFGM-3DP,0,240,120,180,240,0,0,1350,190,10,0.26,106.0,40.0,0.0,12.0,10.5,1.0,10.0,12.0,88.5,13.8,8.9,51.8,8.6,620,1.5,0.03,4.0×10⁻18,Negligible,0.5,100,22.0,8.0,18,Optimized layered build,X-direction dominant,1.02,2465,1.8,Extremely dense microstructure with excellent interlayer cohesion,Strong amorphous gel peaks,Highly stable silica-rich gel,80,3,Heat curing at 80°C,Steam-assisted curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Mutual information
BFGM-RHA10,0,220,100,180,220,80,0,1350,192,10,0.27,106.0,40.0,0.0,12.0,10.2,0.8,8.0,12.0,83.2,12.8,8.2,48.8,7.8,720,1.7,0.04,4.8×10⁻18,Extremely Low,0.7,100,20.0,8.0,20,Vertical,X-Y-Z,1.05,2438,2.1,Fine RHA particles refined nanopore structure,Enhanced amorphous silica hump,Dense silica-rich gel structure,80,3,Heat curing at 80°C,Oven heat curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Correlation-based
BFGM-POFA10,0,220,100,180,220,0,80,1350,193,10,0.27,106.0,40.0,0.0,12.0,10.2,0.8,8.0,12.0,82.0,12.6,8.0,48.2,7.6,760,1.8,0.04,5.0×10⁻18,Extremely Low,0.8,99,20.0,8.0,20,Vertical,X-Y-Z,1.06,2430,2.2,Secondary gel products improved densification,Increased hydration products,Stable geopolymeric structure,80,3,Heat curing at 80°C,Oven heat curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Random forest importance
DDPGC-CON,0,320,60,180,140,0,0,1320,208,8,0.31,112.0,44.0,0.0,10.0,8.5,0.0,0.0,,48.8,6.8,4.2,31.5,3.8,1780,4.0,0.15,1.42×10⁻17,Low,4.6,93,18.0,10.0,22,Vertical,X-Y-Z,1.28,2295,4.8,Moderate geopolymer gel structure with visible pore channels,Dominant geopolymer gel peaks,Stable aluminosilicate structure,40,14,Mild heat curing at 40°C,Controlled chamber curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Correlation-based
DDPGC-FA20,0,360,60,160,140,0,0,1320,204,8,0.3,112.0,44.0,0.0,10.0,9.0,0.2,2.0,12.0,56.2,7.8,4.9,35.2,4.6,1480,3.3,0.12,1.08×10⁻17,Very Low,3.2,96,18.0,10.0,22,Vertical,X-Y-Z,1.2,2330,4.0,Fly ash improved particle packing and reduced voids,Increased amorphous hydration phases,Enhanced silica polymerization,40,14,Mild heat curing at 40°C,Controlled chamber curing,Balanced,0.15,0.15,Standard scaling,Yes,PCA
DDPGC-GGBS20,0,300,80,180,200,0,0,1320,198,10,0.28,110.0,42.0,0.0,12.0,9.5,0.4,4.0,12.0,68.4,9.8,6.1,41.0,5.9,1020,2.5,0.08,7.5×10⁻18,Extremely Low,1.8,98,20.0,10.0,20,Vertical,X-Y-Z,1.12,2385,3.0,Dense compact matrix with reduced microcracks,Reduced crystalline phases,Dense geopolymeric gel formation,60,7,Heat curing at 60°C,Oven heat curing,Balanced,0.15,0.15,Standard scaling,Yes,Recursive feature elimination
DDPGC-MK20,0,280,100,220,200,0,0,1320,194,10,0.27,110.0,42.0,0.0,12.0,10.0,0.6,6.0,12.0,79.6,11.6,7.4,47.2,7.2,760,1.9,0.05,5.2×10⁻18,Negligible,0.9,99,20.0,8.0,20,Optimized layered build,X-direction dominant,1.06,2445,2.3,Metakaolin enhanced gel formation and pore refinement,Strong hybrid hydration phases,Highly polymerized silica bands,70,5,Heat curing at 70°C,Steam-assisted curing,Balanced,0.15,0.15,Standard scaling,Yes,Random forest importance
DDPGC-OPT,0,240,120,240,240,40,40,1320,188,10,0.25,108.0,40.0,0.0,14.0,10.5,0.8,8.0,12.0,96.8,14.8,9.5,55.6,9.2,420,1.1,0.02,2.8×10⁻18,Negligible,0.3,100,22.0,8.0,18,Optimized layered build,X-direction dominant,1.01,2515,1.4,Extremely dense microstructure with excellent interlayer cohesion,Strong amorphous gel structure,Highly stable silica-rich gel,80,3,Heat curing at 80°C,Steam-assisted curing,Balanced,0.15,0.15,Min-Max normalization,Yes,SHAP-based feature ranking
DDPGC-RHA10,0,240,120,220,220,80,0,1320,190,10,0.26,108.0,40.0,0.0,14.0,10.2,0.7,7.0,12.0,90.2,13.5,8.6,52.2,8.4,520,1.3,0.03,3.5×10⁻18,Negligible,0.5,100,20.0,8.0,20,Vertical,X-Y-Z,1.04,2485,1.7,Fine RHA particles refined nanopore structure,Enhanced amorphous silica hump,Dense silica-rich gel structure,80,3,Heat curing at 80°C,Oven heat curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Correlation-based
DDPGC-POFA10,0,240,120,220,220,0,80,1320,191,10,0.26,108.0,40.0,0.0,14.0,10.2,0.7,7.0,12.0,89.0,13.2,8.4,51.8,8.2,560,1.4,0.03,3.8×10⁻18,Negligible,0.6,99,20.0,8.0,20,Vertical,X-Y-Z,1.05,2478,1.8,Secondary gel products improved densification,Increased hydration products,Stable geopolymeric structure,80,3,Heat curing at 80°C,Oven heat curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Random forest importance
UHPFRC-CON,520,120,120,0,180,0,0,980,175,6,0.22,,,,,12.0,0.0,0.0,,96.5,13.8,8.5,46.2,6.5,760,1.8,0.05,5.6×10⁻18,Extremely Low,1.5,98,20.0,10.0,22,Vertical,X-Y-Z,1.22,2420,2.8,Dense cementitious matrix with fine pore network,Dominant C-S-H and silica phases,Stable silicate structure,40,14,Mild heat curing at 40°C,Controlled chamber curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Correlation-based
UHPFRC-PP1,500,120,120,0,200,0,0,980,172,6,0.21,,,,,12.5,0.25,2.5,12.0,108.8,15.5,9.8,51.5,7.8,620,1.5,0.04,4.2×10⁻18,Negligible,1.0,99,22.0,10.0,22,Vertical,X-Y-Z,1.16,2465,2.3,Fiber bridging improved crack resistance,Increased amorphous hydration phases,Enhanced silica polymerization,60,7,Heat curing at 60°C,Oven heat curing,Balanced,0.15,0.15,Standard scaling,Yes,PCA
UHPFRC-PP2,480,120,140,0,220,0,0,980,168,8,0.2,,,,,13.0,0.5,5.0,12.0,122.6,17.8,11.2,57.8,9.2,480,1.2,0.03,3.0×10⁻18,Negligible,0.6,100,24.0,8.0,20,Vertical,X-Y-Z,1.1,2510,1.9,Highly compact matrix with reduced microvoids,Reduced crystalline phases,Dense aluminosilicate gel formation,70,5,Heat curing at 70°C,Steam-assisted curing,Balanced,0.15,0.15,Standard scaling,Yes,Recursive feature elimination
UHPFRC-HYB1,460,120,160,0,240,0,0,980,164,8,0.19,,,,,13.5,0.75,7.5,15.0,136.8,20.5,12.8,64.5,10.8,360,0.9,0.02,2.2×10⁻18,Negligible,0.3,100,24.0,8.0,20,Optimized layered build,X-direction dominant,1.05,2560,1.4,Hybrid fibers enhanced interfacial bonding,Strong hybrid hydration phases,Highly polymerized silica bands,80,3,Heat curing at 80°C,Steam-assisted curing,Balanced,0.15,0.15,Standard scaling,Yes,Random forest importance
UHPFRC-3DP,440,120,180,0,260,0,0,980,160,8,0.18,,,,,14.0,1.0,10.0,15.0,152.5,24.2,15.4,72.0,12.8,240,0.6,0.01,1.5×10⁻18,Negligible,0.1,100,26.0,6.0,18,Optimized layered build,X-direction dominant,1.01,2625,0.9,Extremely dense microstructure with excellent layer adhesion,Strong amorphous gel structure,Highly stable silica-rich gel,90,2,Heat curing at 90°C,High-pressure steam curing,Balanced,0.15,0.15,Min-Max normalization,Yes,SHAP-based feature ranking
UHPFRC-RHA10,420,100,160,0,240,80,0,980,162,8,0.18,,,,,13.8,0.8,8.0,15.0,145.0,22.8,14.5,68.5,11.8,300,0.8,0.02,1.8×10⁻18,Negligible,0.2,100,24.0,8.0,20,Vertical,X-Y-Z,1.03,2595,1.1,Fine RHA particles refined nanopore structure,Enhanced amorphous silica hump,Dense silica-rich gel structure,80,3,Heat curing at 80°C,Oven heat curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Correlation-based
UHPFRC-POFA10,420,100,160,0,240,0,80,980,163,8,0.18,,,,,13.8,0.8,8.0,15.0,143.6,22.5,14.2,68.0,11.6,320,0.8,0.02,2.0×10⁻18,Negligible,0.2,100,24.0,8.0,20,Vertical,X-Y-Z,1.04,2588,1.2,Secondary gel products improved densification,Increased hydration products,Stable geopolymeric structure,80,3,Heat curing at 80°C,Oven heat curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Random forest importance
GFSG-CON,0,360,40,0,260,0,0,1280,210,8,0.34,118.0,46.0,0.0,10.0,7.5,0.0,0.0,,42.6,5.8,3.6,28.5,3.2,1880,4.2,0.16,1.48×10⁻17,Low,4.8,92,18.0,10.0,22,Vertical,X-Y-Z,1.3,2260,4.8,Moderate pore connectivity with unreinforced matrix,Dominant geopolymer gel phases,Stable aluminosilicate network,40,14,Mild heat curing at 40°C,Controlled chamber curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Correlation-based
GFSG-GF0.25,0,340,40,0,280,0,0,1280,206,8,0.32,118.0,46.0,0.0,10.0,8.0,0.25,2.5,12.0,50.8,7.0,4.4,32.6,4.2,1540,3.5,0.12,1.10×10⁻17,Very Low,3.4,95,18.0,10.0,22,Vertical,X-Y-Z,1.22,2310,4.0,Glass fibers improved crack bridging and matrix cohesion,Increased amorphous hydration phases,Enhanced silica polymerization,40,14,Mild heat curing at 40°C,Controlled chamber curing,Balanced,0.15,0.15,Standard scaling,Yes,PCA
GFSG-GF0.50,0,320,60,0,300,0,0,1280,202,10,0.3,116.0,44.0,0.0,12.0,8.6,0.5,5.0,12.0,60.4,8.6,5.5,37.8,5.4,1180,2.8,0.09,8.2×10⁻18,Extremely Low,2.0,97,20.0,10.0,20,Vertical,X-Y-Z,1.14,2365,3.2,Dense matrix with reduced microvoids and improved fiber bonding,Reduced crystalline phases,Dense geopolymeric gel formation,60,7,Heat curing at 60°C,Oven heat curing,Balanced,0.15,0.15,Standard scaling,Yes,Recursive feature elimination
GFSG-GF0.75,0,300,80,0,320,0,0,1280,198,10,0.29,116.0,44.0,0.0,12.0,9.2,0.75,7.5,15.0,71.8,10.5,6.8,43.5,6.8,860,2.1,0.06,5.9×10⁻18,Negligible,1.0,99,20.0,8.0,20,Optimized layered build,X-direction dominant,1.08,2425,2.4,Highly compact microstructure with refined pore network,Strong hybrid hydration phases,Highly polymerized silica bands,70,5,Heat curing at 70°C,Steam-assisted curing,Balanced,0.15,0.15,Standard scaling,Yes,Random forest importance
GFSG-GF1.00,0,280,100,0,340,0,0,1280,194,10,0.27,114.0,42.0,0.0,12.0,9.8,1.0,10.0,15.0,84.2,12.8,8.2,50.4,8.5,620,1.5,0.04,4.0×10⁻18,Negligible,0.5,100,22.0,8.0,18,Optimized layered build,X-direction dominant,1.02,2485,1.6,Extremely dense matrix with excellent fiber–matrix interaction,Strong amorphous gel structure,Highly stable silica-rich gel,80,3,Heat curing at 80°C,Steam-assisted curing,Balanced,0.15,0.15,Min-Max normalization,Yes,SHAP-based feature ranking
GFSG-RHA10,0,260,80,0,320,80,0,1280,196,10,0.28,114.0,42.0,0.0,12.0,9.5,0.8,8.0,15.0,79.5,11.8,7.5,47.2,7.8,720,1.7,0.05,4.6×10⁻18,Negligible,0.7,100,20.0,8.0,20,Vertical,X-Y-Z,1.05,2455,1.9,Fine RHA particles refined nanopore structure,Enhanced amorphous silica hump,Dense silica-rich gel structure,80,3,Heat curing at 80°C,Oven heat curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Correlation-based
GFSG-POFA10,0,260,80,0,320,0,80,1280,197,10,0.28,114.0,42.0,0.0,12.0,9.5,0.8,8.0,15.0,78.6,11.6,7.4,46.8,7.6,760,1.8,0.05,4.8×10⁻18,Negligible,0.8,99,20.0,8.0,20,Vertical,X-Y-Z,1.06,2448,2.0,Secondary gel products improved matrix densification,Increased hydration products,Stable geopolymeric structure,80,3,Heat curing at 80°C,Oven heat curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Random forest importance
SFHT-CON,480,120,60,0,180,0,0,1380,208,8,0.32,,,,,8.0,0.0,0.0,,46.2,6.0,3.8,29.0,3.2,1980,4.4,0.17,1.52×10⁻17,Low,5.0,91,18.0,10.0,22,Vertical,X-Y-Z,1.32,2240,5.0,Microcracks observed after thermal exposure,Dominant C-S-H phases,Moderate silicate structure,25,28,Ambient curing,Moist curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Correlation-based
SFHT-SF0.25,460,120,60,0,200,0,0,1380,204,8,0.31,,,,,8.5,0.25,2.5,12.0,54.5,7.4,4.8,33.5,4.2,1620,3.6,0.13,1.15×10⁻17,Very Low,3.6,94,18.0,10.0,22,Vertical,X-Y-Z,1.24,2290,4.2,Sisal fibers reduced crack propagation under heat,Increased amorphous hydration phases,Enhanced silica polymerization,25,28,Ambient curing,Moist curing,Balanced,0.15,0.15,Standard scaling,Yes,PCA
SFHT-SF0.50,440,120,80,0,220,0,0,1380,200,10,0.3,,,,,9.0,0.5,5.0,15.0,63.8,9.0,5.9,38.8,5.5,1220,2.9,0.09,8.4×10⁻18,Extremely Low,2.2,97,20.0,10.0,20,Vertical,X-Y-Z,1.16,2345,3.4,Improved fiber–matrix bonding with reduced pore connectivity,Reduced crystalline phases,Dense geopolymeric gel formation,40,14,Mild heat curing at 40°C,Controlled chamber curing,Balanced,0.15,0.15,Standard scaling,Yes,Recursive feature elimination
SFHT-SF0.75,420,120,100,0,240,0,0,1380,196,10,0.29,,,,,9.5,0.75,7.5,18.0,74.6,11.2,7.2,45.0,7.0,860,2.2,0.06,5.8×10⁻18,Negligible,1.1,99,20.0,8.0,20,Optimized layered build,X-direction dominant,1.08,2405,2.6,Compact matrix with enhanced thermal crack resistance,Strong hybrid hydration phases,Highly polymerized silica bands,60,7,Heat curing at 60°C,Steam-assisted curing,Balanced,0.15,0.15,Standard scaling,Yes,Random forest importance
SFHT-SF1.00,400,120,120,0,260,0,0,1380,192,10,0.28,,,,,10.0,1.0,10.0,20.0,86.4,13.8,8.8,52.2,8.8,620,1.6,0.04,4.0×10⁻18,Negligible,0.5,100,22.0,8.0,18,Optimized layered build,X-direction dominant,1.03,2470,1.8,Dense microstructure with excellent thermal stability,Strong amorphous gel structure,Highly stable silica-rich gel,70,5,Heat curing at 70°C,Steam-assisted curing,Balanced,0.15,0.15,Min-Max normalization,Yes,SHAP-based feature ranking
SFHT-RHA10,380,100,100,0,240,80,0,1380,194,10,0.28,,,,,9.8,0.8,8.0,18.0,81.0,12.8,8.0,49.0,8.0,720,1.8,0.05,4.6×10⁻18,Negligible,0.7,100,20.0,8.0,20,Vertical,X-Y-Z,1.05,2440,2.1,Fine RHA particles refined nanopore structure,Enhanced amorphous silica hump,Dense silica-rich gel structure,70,5,Heat curing at 70°C,Oven heat curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Correlation-based
SFHT-POFA10,380,100,100,0,240,0,80,1380,195,10,0.28,,,,,9.8,0.8,8.0,18.0,80.2,12.6,7.8,48.5,7.8,760,1.9,0.05,4.8×10⁻18,Negligible,0.8,99,20.0,8.0,20,Vertical,X-Y-Z,1.06,2432,2.2,Secondary gel products improved matrix densification,Increased hydration products,Stable geopolymeric structure,70,5,Heat curing at 70°C,Oven heat curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Random forest importance
WPF-CON,500,100,50,0,150,0,0,1400,215,8,0.34,,,,,7.5,0.0,0.0,,40.8,5.5,3.4,26.5,3.0,2100,4.8,0.18,1.62×10⁻17,Moderate,5.5,90,18.0,10.0,22,Vertical,X-Y-Z,1.34,2210,5.4,Visible pore channels and weak interlayer zones,Dominant C-S-H phases,Moderate silicate structure,25,28,Ambient curing,Moist curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Correlation-based
WPF-0.25,480,100,50,0,170,0,0,1400,210,8,0.32,,,,,8.0,0.25,2.5,10.0,48.2,6.8,4.2,30.2,3.9,1760,4.0,0.14,1.20×10⁻17,Low,4.0,93,18.0,10.0,22,Vertical,X-Y-Z,1.25,2265,4.6,Waste plastic fibers improved crack bridging,Increased amorphous hydration phases,Enhanced silica polymerization,25,28,Ambient curing,Moist curing,Balanced,0.15,0.15,Standard scaling,Yes,PCA
WPF-0.50,460,100,70,0,190,0,0,1400,205,10,0.31,,,,,8.5,0.5,5.0,12.0,56.8,8.1,5.1,34.8,5.0,1380,3.2,0.1,8.8×10⁻18,Very Low,2.5,96,20.0,10.0,20,Vertical,X-Y-Z,1.18,2320,3.8,Reduced microcracks and improved matrix cohesion,Reduced crystalline phases,Dense cementitious gel formation,40,14,Mild heat curing at 40°C,Controlled chamber curing,Balanced,0.15,0.15,Standard scaling,Yes,Recursive feature elimination
